pubmed_id,first_author,pub_date,journal,study_title
34128465,Liu Y,2021-06-15,Elife,Genetic architecture of 11 organ traits derived from abdominal MRI using deep learning.
30679032,Brazel DM,2018-12-06,Biol Psychiatry,Exome Chip Meta-analysis Fine Maps Causal Variants and Elucidates the Genetic Architecture of Rare Coding Variants in Smoking and Alcohol Use.
37386247,Han X,2023-06-29,Nat Genet,Large-scale multitrait genome-wide association analyses identify hundreds of glaucoma risk loci.
26584805,Dorajoo R,2015-11-19,Genes Nutr,A genome-wide association study of n-3 and n-6 plasma fatty acids in a Singaporean Chinese population.
37131961,Tomasoni M,2023-02-16,Ophthalmol Sci,Genome-wide Association Studies of Retinal Vessel Tortuosity Identify Numerous Novel Loci Revealing Genes and Pathways Associated With Ocular and Cardiometabolic Diseases.
23535729,Michailidou K,2013-04-01,Nat Genet,Large-scale genotyping identifies 41 new loci associated with breast cancer risk.
26192919,Liu JZ,2015-07-20,Nat Genet,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.
36281732,Sumpter NA,2022-10-25,Arthritis Rheumatol,Association of Gout Polygenic Risk Score with Age at Disease Onset and Tophaceous Disease in European and Polynesian Men with Gout.
38155330,Kim JJ,2023-12-28,Nat Genet,Multi-ancestry genome-wide association meta-analysis of Parkinson's disease.
35964923,Timoteo VJ,2022-08-11,J Nutr Biochem,Common and Ethnic-Specific Genetic Determinants of Hemoglobin Concentration between Taiwanese Han Chinese and European Whites: Findings from Comparative Two-Stage Genome-Wide Association Studies.
30575882,Lotta LA,2018-12-01,JAMA,"Association of Genetic Variants Related to Gluteofemoral vs Abdominal Fat Distribution With Type 2 Diabetes, Coronary Disease, and Cardiovascular Risk Factors."
30718926,Suzuki K,2019-02-04,Nat Genet,Identification of 28 new susceptibility loci for type 2 diabetes in the Japanese population.
18834626,Dehghan A,2008-10-01,Lancet,Association of three genetic loci with uric acid concentration and risk of gout: a genome-wide association study.
33763119,Read RW,2021-03-02,Front Genet,Genome-Wide Identification of Rare and Common Variants Driving Triglyceride Levels in a Nevada Population.
32171239,Hodonsky CJ,2020-03-14,BMC Genomics,Ancestry-specific associations identified in genome-wide combined-phenotype study of red blood cell traits emphasize benefits of diversity in genomics.
31589552,Lind L,2019-10-07,Metab Syndr Relat Disord,Genome-Wide Association Study of the Metabolic Syndrome in UK Biobank.
26502338,Bentham J,2015-10-26,Nat Genet,Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus.
27790247,He L,2016-11-03,Front Genet,Pleiotropic Meta-Analyses of Longitudinal Studies Discover Novel Genetic Variants Associated with Age-Related Diseases.
24105470,Wu Y,2013-10-14,Hum Mol Genet,A meta-analysis of genome-wide association studies for adiponectin levels in East Asians identifies a novel locus near WDR11-FGFR2.
33875891,Smith SM,2021-04-19,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.
24586186,Rueedi R,2014-02-20,PLoS Genet,Genome-wide association study of metabolic traits reveals novel gene-metabolite-disease links.
25751625,Michailidou K,2015-04-01,Nat Genet,"Genome-wide association analysis of more than 120,000 individuals identifies 15 new susceptibility loci for breast cancer."
38201907,Ho CY,2023-12-25,Nutrients,A Genome-Wide Association Study of Metabolic Syndrome in the Taiwanese Population.
34780722,Di Narzo AF,2021-11-12,Gastroenterology,Integrative analysis of the Inflammatory Bowel Disease serum metabolome improves our understanding of genetic etiology and points to novel putative therapeutic targets.
38297123,Huang S,2024-01-31,Nature,The Born in Guangzhou Cohort Study enables generational genetic discoveries.
38849341,Kim B,2024-06-07,Nat Commun,Mapping and annotating genomic loci to prioritize genes and implicate distinct polygenic adaptations for skin color.
36423732,Akiyama M,2022-11-21,Ophthalmology,GWAS of age-related macular degeneration reveals two new loci implying shared genetic components with central serous chorioretinopathy.
35470158,Saevarsdottir S,2022-04-25,Ann Rheum Dis,Multiomics analysis of rheumatoid arthritis yields sequence variants that have large effects on risk of the seropositive subset.
37069358,Cosentino J,2023-04-17,Nat Genet,Inference of chronic obstructive pulmonary disease with deep learning on raw spirograms identifies new genetic loci and improves risk models.
36750564,Khunsriraksakul C,2023-02-07,Nat Commun,Multi-ancestry and multi-trait genome-wide association meta-analyses inform clinical risk prediction for systemic lupus erythematosus.
32005708,Forgetta V,2020-01-31,Diabetes,Rare Genetic Variants of Large Effect Influence Risk of Type 1 Diabetes.
39023044,Ge YJ,2024-07-18,Alzheimers Dement,Genome-wide meta-analysis identifies ancestry-specific loci for Alzheimer's disease.
38867047,Liu A,2024-06-12,Nature,Genetic drivers and cellular selection of female mosaic X chromosome loss.
20639394,Kang TW,2010-07-16,Hum Mol Genet,Genome-wide association of serum bilirubin levels in Korean population.
37156999,Liu Z,2023-05-08,Nat Genet,Genetic architecture of the inflammatory bowel diseases across East Asian and European ancestries.
25282103,Wood AR,2014-10-05,Nat Genet,Defining the role of common variation in the genomic and biological architecture of adult human height.
19734902,Harold D,2009-09-06,Nat Genet,Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.
33713608,Graff M,2021-03-05,Am J Hum Genet,Discovery and fine-mapping of height loci via high-density imputation of GWASs in individuals of African ancestry.
31046077,Zhong VW,2019-05-02,Hum Mol Genet,A genome-wide association study of bitter and sweet beverage consumption.
25673413,Locke AE,2015-02-12,Nature,Genetic studies of body mass index yield new insights for obesity biology.
40069456,Pujol Gualdo N,2025-03-11,Nat Med,Atlas of genetic and phenotypic associations across 42 female reproductive health diagnoses.
32296059,Han Y,2020-04-15,Nat Commun,Genome-wide analysis highlights contribution of immune system pathways to the genetic architecture of asthma.
34620218,Meeks KAC,2021-10-07,Genome Med,Genome-wide analyses of multiple obesity-related cytokines and hormones informs biology of cardiometabolic traits.
25293881,Patel YM,2014-10-07,Cancer Epidemiol Biomarkers Prev,The contribution of common genetic variation to nicotine and cotinine glucuronidation in multiple ethnic/racial populations.
28416818,Christophersen IE,2017-04-17,Nat Genet,Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.
42236496,Zhao X,2026-06-03,Nat Commun,Genetic architecture of white matter microstructure captured by unsupervised deep representation learning of fractional anisotropy maps.
39937552,Rayinda T,2025-02-12,JAMA Dermatol,Epistasis of ERAP1 With 4 Major Histocompatibility Complex Class I Alleles in Frontal Fibrosing Alopecia: A Genome-Wide Association Study Meta-Analysis.
32231244,Xie J,2020-03-30,Nat Commun,The genetic architecture of membranous nephropathy and its potential to improve non-invasive diagnosis.
31701892,Nalls MA,2019-12-01,Lancet Neurol,"Identification of novel risk loci, causal insights, and heritable risk for Parkinson's disease: a meta-analysis of genome-wide association studies."
21829377,Lemaitre RN,2011-07-28,PLoS Genet,Genetic loci associated with plasma phospholipid n-3 fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.
34337532,Fantus RJ,2021-05-25,Eur Urol Open Sci,Genetic Susceptibility for Low Testosterone in Men and Its Implications in Biology and Screening: Data from the UK Biobank.
36804072,Pardinas AF,2023-03-01,Lancet Psychiatry,Pharmacokinetics and pharmacogenomics of clozapine in an ancestrally diverse sample: a longitudinal analysis and genome-wide association study using UK clinical monitoring data.
28452372,Gorski M,2017-04-28,Sci Rep,1000 Genomes-based meta-analysis identifies 10 novel loci for kidney function.
29220522,Liu F,2017-12-06,Hum Mol Genet,Meta-analysis of genome-wide association studies identifies 8 novel loci involved in shape variation of human head hair.
27539887,Chahal HS,2016-08-19,Nat Commun,Genome-wide association study identifies 14 novel risk alleles associated with basal cell carcinoma.
39749473,Crouch DJM,2025-01-01,Genet Epidemiol,Bayesian Effect Size Ranking to Prioritise Genetic Risk Variants in Common Diseases for Follow-Up Studies.
39904976,Jackson VE,2025-02-04,Nat Commun,Multi-omic spatial effects on high-resolution AI-derived retinal thickness.
39078117,Akcimen F,2024-07-30,Ann Neurol,Genomic Analysis Identifies Risk Factors in Restless Legs Syndrome.
36536295,Vollenbrock CE,2022-12-19,BMC Genomics,Genome-wide association study identifies novel loci associated with skin autofluorescence in individuals without diabetes.
36757925,Jiang X,2023-02-09,PLoS Genet,GWAS on retinal vasculometry phenotypes.
36539618,Fernandez-Rozadilla C,2022-12-20,Nat Genet,"Deciphering colorectal cancer genetics through multi-omic analysis of 100,204 cases and 154,587 controls of European and east Asian ancestries."
36543923,Sherva R,2022-12-22,Mol Psychiatry,African ancestry GWAS of dementia in a large military cohort identifies significant risk loci.
25811787,Huffman JE,2015-03-26,PLoS One,Modulation of genetic associations with serum urate levels by body-mass-index in humans.
32335043,Park S,2020-04-22,J Acad Nutr Diet,"Alcohol, Carbohydrate, and Calcium Intakes and Smoking Interactions with APOA5 rs662799 and rs2266788 were Associated with Elevated Plasma Triglyceride Concentrations in a Cross-Sectional Study of Korean Adults."
25096241,Keller MF,2014-08-05,Hum Mol Genet,Trans-ethnic meta-analysis of white blood cell phenotypes.
36778051,Tsuo K,2022-11-08,Cell Genom,Multi-ancestry meta-analysis of asthma identifies novel associations and highlights the value of increased power and diversity.
31178129,Spracklen CN,2019-06-06,Am J Hum Genet,Exome-Derived Adiponectin-Associated Variants Implicate Obesity and Lipid Biology.
37106081,Schoeler T,2023-04-27,Nat Hum Behav,Participation bias in the UK Biobank distorts genetic associations and downstream analyses.
28346443,Melin BS,2017-03-27,Nat Genet,Genome-wide association study of glioma subtypes identifies specific differences in genetic susceptibility to glioblastoma and non-glioblastoma tumors.
22832961,Kamboh MI,2012-05-15,Transl Psychiatry,Genome-wide association study of Alzheimer's disease.
34290314,Brandes N,2021-07-21,Sci Rep,Genetic association studies of alterations in protein function expose recessive effects on cancer predisposition.
37696869,Fan Q,2023-09-11,Nat Commun,Contribution of common and rare variants to Asian neovascular age-related macular degeneration subtypes.
28430825,Ng MCY,2017-04-21,PLoS Genet,Discovery and fine-mapping of adiposity loci using high density imputation of genome-wide association studies in individuals of African ancestry: African Ancestry Anthropometry Genetics Consortium.
38182742,Elliott A,2024-01-05,Nat Genet,Distinct and shared genetic architectures of gestational diabetes mellitus and type 2 diabetes.
33310728,Ha E,2020-12-11,Ann Rheum Dis,"Large-scale meta-analysis across East Asian and European populations updated genetic architecture and variant-driven biology of rheumatoid arthritis, identifying 11 novel susceptibility loci."
31501611,Karlsson T,2019-09-09,Nat Med,Contribution of genetics to visceral adiposity and its relation to cardiovascular and metabolic disease.
36578646,Yeh KH,2022-01-31,Tzu Chi Med J,Circulating serum amyloid A levels but not SAA1 variants predict long-term outcomes of angiographically confirmed coronary artery disease.
35729600,Guo P,2022-06-22,BMC Med,Pinpointing novel risk loci for Lewy body dementia and the shared genetic etiology with Alzheimer's disease and Parkinson's disease: a large-scale multi-trait association analysis.
38532495,Pott J,2024-03-26,Biol Sex Differ,Sex and statin-related genetic associations at the PCSK9 gene locus: results of genome-wide association meta-analysis.
36788602,Li S,2023-02-14,Genome Med,"Ultra-low-coverage genome-wide association study-insights into gestational age using 17,844 embryo samples with preimplantation genetic testing."
33283231,Calvo-Serra B,2020-12-05,Hum Mol Genet,Urinary metabolite quantitative trait loci in children and their interaction with dietary factors.
34077760,Alipanahi B,2021-06-01,Am J Hum Genet,Large-scale machine-learning-based phenotyping significantly improves genomic discovery for optic nerve head morphology.
32386560,Ramirez J,2020-04-29,Am J Hum Genet,Common Genetic Variants Modulate the Electrocardiographic Tpeak-to-Tend Interval.
35396452,Sarnowski C,2022-04-08,Commun Biol,Meta-analysis of genome-wide association studies identifies ancestry-specific associations underlying circulating total tau levels.
28107422,de Vries PS,2017-01-20,PLoS One,Comparison of HapMap and 1000 Genomes Reference Panels in a Large-Scale Genome-Wide Association Study.
37791980,Larsson SC,2023-10-04,Cancer Epidemiol Biomarkers Prev,Genome-Wide Association and Two-Sample Mendelian Randomization Analyses of Plasma Ghrelin and Gastrointestinal Cancer Risk.
30070759,Olsson M,2018-08-02,J Thromb Haemost,Genome-wide analysis of genetic determinants of circulating factor VII activating protease (FSAP) activity.
33532862,Hartiala JA,2021-02-03,Eur Heart J,Genome-wide analysis identifies novel susceptibility loci for myocardial infarction.
34737440,Lona-Durazo F,2021-11-04,Commun Biol,A large Canadian cohort provides insights into the genetic architecture of human hair colour.
35361970,Okbay A,2022-03-31,Nat Genet,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.
32916098,Verweij N,2020-09-02,Cell Syst,The Genetic Makeup of the Electrocardiogram.
41419685,Kany S,2025-12-19,Nat Genet,Multitrait analyses identify genetic variants associated with aortic valve function and aortic stenosis risk.
33619548,Oldoni F,2021-02-23,J Clin Endocrinol Metab,Genetic and Metabolic Determinants of Plasma Levels of ANGPTL8.
22885922,Morris AP,2012-09-01,Nat Genet,Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes.
23754956,Grarup N,2013-06-06,PLoS Genet,Genetic architecture of vitamin B12 and folate levels uncovered applying deeply sequenced large datasets.
31451708,Hellwege JN,2019-08-26,Nat Commun,Mapping eGFR loci to the renal transcriptome and phenome in the VA Million Veteran Program.
35168826,Wood AC,2022-01-07,Nutr Metab Cardiovasc Dis,Identification of genetic loci simultaneously associated with multiple cardiometabolic traits.
40922984,Ahmed A,2025-08-31,J Obes,MRI-Based Genetic Studies Reveal Specific Genetic Variants and Disease Risks Associated With Fat Distribution Across Anatomical Sites.
30926973,Bentley AR,2019-03-29,Nat Genet,"Multi-ancestry genome-wide gene-smoking interaction study of 387,272 individuals identifies new loci associated with serum lipids."
39389019,He Q,2024-10-01,Cell Genom,A genome-wide association study of neonatal metabolites.
23267103,Desch KC,2012-12-24,Proc Natl Acad Sci U S A,Linkage analysis identifies a locus for plasma von Willebrand factor undetected by genome-wide association.
22705344,Sobrin L,2012-06-15,Ophthalmology,Heritability and genome-wide association study to assess genetic differences between advanced age-related macular degeneration subtypes.
20383146,Kottgen A,2010-04-11,Nat Genet,New loci associated with kidney function and chronic kidney disease.
30659077,Onengut-Gumuscu S,2019-01-18,Diabetes Care,Type 1 Diabetes Risk in African-Ancestry Participants and Utility of an Ancestry-Specific Genetic Risk Score.
39643614,Allara E,2024-12-06,Commun Biol,Novel loci and biomedical consequences of iron homoeostasis variation.
35935937,Hoglund J,2022-07-22,Front Immunol,Gene-Based Variant Analysis of Whole-Exome Sequencing in Relation to Eosinophil Count.
26908601,Hinds DA,2016-02-09,Hum Mol Genet,Genome-wide association analysis of self-reported events in 6135 individuals and 252 827 controls identifies 8 loci associated with thrombosis.
35446358,He W,2022-04-21,JAMA Ophthalmol,Association of Novel Loci With Keratoconus Susceptibility in a Multitrait Genome-Wide Association Study of the UK Biobank Database and Canadian Longitudinal Study on Aging.
39746953,Valo E,2025-01-02,Nat Commun,Genome-wide characterization of 54 urinary metabolites reveals molecular impact of kidney function.
28898252,Wheeler E,2017-09-12,PLoS Med,Impact of common genetic determinants of Hemoglobin A1c on type 2 diabetes risk and diagnosis in ancestrally diverse populations: A transethnic genome-wide meta-analysis.
28416822,Low SK,2017-04-17,Nat Genet,Identification of six new genetic loci associated with atrial fibrillation in the Japanese population.
26959369,Haiman CA,2016-03-09,PLoS One,Benzene Uptake and Glutathione S-transferase T1 Status as Determinants of S-Phenylmercapturic Acid in Cigarette Smokers in the Multiethnic Cohort.
36502284,Yu XH,2022-12-10,Obesity (Silver Spring),Body surface area is a potential obesity index: Its genetic determination and its causality for later-life diseases.
17554300,Wellcome Trust Case Control Consortium,2007-06-07,Nature,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."
29878111,Kocarnik JM,2018-08-01,Hum Mol Genet,"Discovery, fine-mapping, and conditional analyses of genetic variants associated with C-reactive protein in multiethnic populations using the Metabochip in the Population Architecture using Genomics and Epidemiology (PAGE) study."
31213470,Moon JY,2019-06-18,Diabetes Care,A Genome-Wide Association Study Identifies Blood Disorder-Related Variants Influencing Hemoglobin A1c With Implications for Glycemic Status in U.S. Hispanics/Latinos.
32247823,Parisinos CA,2020-04-02,J Hepatol,Genome-wide and Mendelian randomisation studies of liver MRI yield insights into the pathogenesis of steatohepatitis.
35255492,Kousathanas A,2022-03-07,Nature,Whole genome sequencing reveals host factors underlying critical Covid-19.
30940813,Kranzler HR,2019-04-02,Nat Commun,"Genome-wide association study of alcohol consumption and use disorder in 274,424 individuals from multiple populations."
26362759,Rothwell S,2015-09-11,Ann Rheum Dis,Dense genotyping of immune-related loci in idiopathic inflammatory myopathies confirms HLA alleles as the strongest genetic risk factor and suggests different genetic background for major clinical subgroups.
21833088,Sawcer S,2011-08-11,Nature,Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis.
41703085,Moberget T,2026-02-17,Commun Biol,The genetic architecture of human cerebellar morphology supports a key role for the cerebellum in human evolution and psychopathology.
40050615,Kim J,2025-03-06,Nat Commun,Genome-wide meta-analysis identifies novel risk loci for uterine fibroids within and across multiple ancestry groups.
32568366,Raghavan NS,2020-06-22,JAMA Neurol,"Association Between Common Variants in RBFOX1, an RNA-Binding Protein, and Brain Amyloidosis in Early and Preclinical Alzheimer Disease."
41861830,Bartell E,2026-03-19,Am J Hum Genet,Genetics of skeletal proportions across two different populations.
37479695,Cheng S,2023-07-21,Cell Discov,The STROMICS genome study: deep whole-genome sequencing and analysis of 10K Chinese patients with ischemic stroke reveal complex genetic and phenotypic interplay.
39620209,Lyu X,2024-11-15,Front Immunol,A genome-wide cross-trait analysis identifying shared genetic basis and causal relationships between Hunner-type interstitial cystitis and autoimmune diseases in East Asian populations.
37308787,Rajagopal VM,2023-06-12,Nat Genet,Rare coding variants in CHRNB2 reduce the likelihood of smoking.
37488169,Thijssen AB,2023-07-25,Mol Psychiatry,Investigating genetically stratified subgroups to better understand the etiology of alcohol misuse.
26366553,Danjou F,2015-09-14,Nat Genet,Genome-wide association analyses based on whole-genome sequencing in Sardinia provide insights into regulation of hemoglobin levels.
37587153,Yang C,2023-08-16,Commun Biol,Genome-wide association studies and fine-mapping identify genomic loci for n-3 and n-6 polyunsaturated fatty acids in Hispanic American and African American cohorts.
34925446,Soremekun O,2021-12-02,Front Genet,Genome-Wide Association and Mendelian Randomization Analysis Reveal the Causal Relationship Between White Blood Cell Subtypes and Asthma in Africans.
28604728,Litchfield K,2017-06-12,Nat Genet,Identification of 19 new risk loci and potential regulatory mechanisms influencing susceptibility to testicular germ cell tumor.
18978792,Cooper JD,2008-11-02,Nat Genet,Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.
37097752,Vergara C,2023-04-25,JCI Insight,Multi-ancestry sex-stratified genomic associations with HIV viral load and controller status from the ICGH.
33057200,Bao EL,2020-10-14,Nature,Inherited myeloproliferative neoplasm risk affects haematopoietic stem cells.
38072966,Al-Ali AK,2023-12-10,Sci Rep,Uncovering myocardial infarction genetic signatures using GWAS exploration in Saudi and European cohorts.
41686896,Du M,2026-02-13,Sci Adv,Cross-trait genomic modeling reveals the polygenic architecture and systemic impact of MASLD.
41951582,Kimura T,2026-04-08,Transl Psychiatry,Whole-genome sequencing reveals an East Asian-specific rare variant of INPP5J associated with Alzheimer's disease.
23969696,Sabater-Lleal M,2013-08-22,Circulation,Multiethnic meta-analysis of genome-wide association studies in >100 000 subjects identifies 23 fibrinogen-associated Loci but no strong evidence of a causal association between circulating fibrinogen and cardiovascular disease.
39948438,Wen S,2025-02-13,Nat Genet,Comparative analysis of the Mexico City Prospective Study and the UK Biobank identifies ancestry-specific effects on clonal hematopoiesis.
18483556,Han J,2008-05-16,PLoS Genet,A genome-wide association study identifies novel alleles associated with hair color and skin pigmentation.
32678081,Timmers PRHJ,2020-07-16,Nat Commun,Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.
24532676,Kim K,2014-02-14,Ann Rheum Dis,High-density genotyping of immune loci in Koreans and Europeans identifies eight new rheumatoid arthritis risk loci.
31959851,Olafsdottir TA,2020-01-20,Nat Commun,Eighty-eight variants highlight the role of T cell regulation and airway remodeling in asthma pathogenesis.
33821002,Naqvi S,2021-04-05,Nat Genet,Shared heritability of human face and brain shape.
21909109,Kim YJ,2011-09-11,Nat Genet,Large-scale genome-wide association studies in East Asians identify new genetic loci influencing metabolic traits.
31511532,Teumer A,2019-09-11,Nat Commun,Genome-wide association meta-analyses and fine-mapping elucidate pathways influencing albuminuria.
40708016,Sherva R,2025-07-24,Alzheimers Res Ther,"Genome-wide association studies of Alzheimer's disease and related disorders stratified by sex, onset age, and Apolipoprotein E genotype reveal novel risk loci in African Americans."
31358974,Evangelou E,2019-07-29,Nat Hum Behav,New alcohol-related genes suggest shared genetic mechanisms with neuropsychiatric disorders.
32150548,Riveros-Mckay F,2020-03-09,PLoS Genet,The influence of rare variants in circulating metabolic biomarkers.
24449572,Orozco G,2014-01-01,Arthritis Rheumatol,Novel rheumatoid arthritis susceptibility locus at 22q12 identified in an extended UK genome-wide association study.
30578418,Giri A,2018-12-21,Nat Genet,"Trans-ethnic association study of blood pressure determinants in over 750,000 individuals."
33910371,Stanislawski MA,2021-04-29,Arterioscler Thromb Vasc Biol,Soluble CD14 Levels in the Jackson Heart Study: Associations With Cardiovascular Disease Risk and Genetic Variants.
22001757,Chambers JC,2011-10-16,Nat Genet,Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.
28892059,Chang D,2017-09-11,Nat Genet,A meta-analysis of genome-wide association studies identifies 17 new Parkinson's disease risk loci.
23381795,Verweij N,2013-02-04,Hypertension,Genome-wide association study on plasma levels of midregional-proadrenomedullin and C-terminal-pro-endothelin-1.
33517400,Ahluwalia TS,2021-01-30,Hum Mol Genet,Genome-Wide Association Study of Circulating Interleukin 6 Levels Identifies Novel Loci.
33627673,Gharahkhani P,2021-02-24,Nat Commun,Genome-wide meta-analysis identifies 127 open-angle glaucoma loci with consistent effect across ancestries.
35652341,Kelly TN,2022-06-02,Hypertension,"Insights From a Large-Scale Whole-Genome Sequencing Study of Systolic Blood Pressure, Diastolic Blood Pressure, and Hypertension."
31636271,Gallois A,2019-10-21,Nat Commun,A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.
30617275,Erzurumluoglu AM,2019-01-07,Mol Psychiatry,"Meta-analysis of up to 622,409 individuals identifies 40 novel smoking behaviour associated genetic loci."
21533024,Pare G,2011-04-21,PLoS Genet,"Genome-wide association analysis of soluble ICAM-1 concentration reveals novel associations at the NFKBIK, PNPLA3, RELA, and SH2B3 loci."
34707639,Liu T,2021-10-11,Front Genet,Exome-Wide Association Study Identifies East Asian-Specific Missense Variant MTHFR C136T Influencing Homocysteine Levels in Chinese Populations RH: ExWAS of tHCY in a Chinese Population.
26853712,Zhang YB,2016-02-08,Nat Commun,Genome-wide association study identifies multiple susceptibility loci for craniofacial microsomia.
20935630,Speliotes EK,2010-10-10,Nat Genet,"Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index."
30535121,Gao XR,2018-12-07,Hum Mol Genet,Genome-wide association analyses identify 139 loci associated with macular thickness in the UK Biobank cohort.
30946743,Li Z,2019-04-04,PLoS Genet,Genome-wide association study in Turkish and Iranian populations identify rare familial Mediterranean fever gene (MEFV) polymorphisms associated with ankylosing spondylitis.
36580032,Rothwell S,2022-12-29,Arthritis Rheumatol,Genome-wide imputation identifies novel associations and localises signals in idiopathic inflammatory myopathies.
32460577,Song L,2020-05-28,Arterioscler Thromb Vasc Biol,Association of TIM-1 (T-Cell Immunoglobulin and Mucin Domain 1) With Incidence of Stroke.
25108386,Hou S,2014-08-10,Nat Genet,Genome-wide association analysis of Vogt-Koyanagi-Harada syndrome identifies two new susceptibility loci at 1p31.2 and 10q21.3.
26926045,Adhikari K,2016-03-01,Nat Commun,A genome-wide association scan in admixed Latin Americans identifies loci influencing facial and scalp hair features.
28017375,van Rooij FJA,2016-12-22,Am J Hum Genet,Genome-wide Trans-ethnic Meta-analysis Identifies Seven Genetic Loci Influencing Erythrocyte Traits and a Role for RBPMS in Erythropoiesis.
20385826,Neale BM,2010-04-12,Proc Natl Acad Sci U S A,Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).
30572963,Marquez A,2018-12-20,Genome Med,Meta-analysis of Immunochip data of four autoimmune diseases reveals novel single-disease and cross-phenotype associations.
30850646,Tziotzios C,2019-03-08,Nat Commun,Genome-wide association study in frontal fibrosing alopecia identifies four susceptibility loci including HLA-B*07:02.
21685912,Hoglinger GU,2011-06-19,Nat Genet,Identification of common variants influencing risk of the tauopathy progressive supranuclear palsy.
31969989,Oni-Orisan A,2020-01-16,NPJ Genom Med,The impact of adjusting for baseline in pharmacogenomic genome-wide association studies of quantitative change.
35228297,Joseph CB,2022-03-01,J Am Soc Nephrol,Meta-GWAS Reveals Novel Genetic Variants Associated with Urinary Excretion of Uromodulin.
36918541,Young WJ,2023-03-14,Nat Commun,Genetic architecture of spatial electrical biomarkers for cardiac arrhythmia and relationship with cardiovascular disease.
34785669,Grosche S,2021-11-16,Nat Commun,"Rare variant analysis in eczema identifies exonic variants in DUSP1, NOTCH4 and SLC9A4."
35379992,Bellenguez C,2022-04-04,Nat Genet,New insights into the genetic etiology of Alzheimer's disease and related dementias.
28371326,Zhu Y,2017-03-30,J Cell Mol Med,Susceptibility loci for metabolic syndrome and metabolic components identified in Han Chinese: a multi-stage genome-wide association study.
28714469,Langefeld CD,2017-07-17,Nat Commun,Transancestral mapping and genetic load in systemic lupus erythematosus.
41922918,Portas L,2026-04-01,Nat Commun,Genetic architecture of sleep in a genome wide association study of device measured sleep traits.
32843070,Winkler TW,2020-08-26,BMC Med Genomics,Genome-wide association meta-analysis for early age-related macular degeneration highlights novel loci and insights for advanced disease.
34033851,Cordell HJ,2021-05-22,J Hepatol,An international genome-wide meta-analysis of primary biliary cholangitis: novel risk loci and candidate drugs.
40075078,Yuan S,2025-03-12,Nat Commun,"GWAS identifies genetic loci, lifestyle factors and circulating biomarkers that are risk factors for sarcoidosis."
41238566,Luben RN,2025-11-14,Nat Commun,GWAS for primary angle-closure glaucoma identifies loci related to ocular biometry and morphology.
24755620,Perez-Palma E,2014-04-22,PLoS One,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.
36800424,Sha Z,2023-02-17,Sci Adv,Genetic architecture of the white matter connectome of the human brain.
38437179,Nordeidet AN,2024-03-04,Eur J Prev Cardiol,Sex-specific and polygenic effects underlying resting heart rate and associated risk of cardiovascular disease.
26838040,Kristjansson RP,2016-02-03,Nat Commun,Common and rare variants associating with serum levels of creatine kinase and lactate dehydrogenase.
28443625,Justice AE,2017-04-26,Nat Commun,"Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits."
35511172,Gabriel AAG,2022-05-02,J Natl Cancer Inst,Genetic analysis of lung cancer and the germline impact on somatic mutation burden.
35762941,Plotnikov D,2022-06-01,Invest Ophthalmol Vis Sci,High Blood Pressure and Intraocular Pressure: A Mendelian Randomization Study.
37845353,Roychowdhury T,2023-10-16,Nat Genet,Genome-wide association meta-analysis identifies risk loci for abdominal aortic aneurysm and highlights PCSK9 as a therapeutic target.
34274964,Duijvenboden S,2021-07-19,Hum Mol Genet,Genomic and pleiotropic analyses of resting QT interval identifies novel loci and overlap with atrial electrical disorders.
37934784,Kwong A,2023-11-02,Hum Mol Genet,"Whole genome sequencing of 4,787 individuals identifies gene-based rare variants in age-related macular degeneration."
31630189,Casanova F,2019-10-20,Hum Mol Genet,A genome-wide association study implicates multiple mechanisms influencing raised urinary albumin-creatinine ratio.
24097067,Lessard CJ,2013-11-01,Nat Genet,Variants at multiple loci implicated in both innate and adaptive immune responses are associated with Sjögren's syndrome.
28270201,Nagy R,2017-03-07,Genome Med,"Exploration of haplotype research consortium imputation for genome-wide association studies in 20,032 Generation Scotland participants."
22581228,Manning AK,2012-05-13,Nat Genet,A genome-wide approach accounting for body mass index identifies genetic variants influencing fasting glycemic traits and insulin resistance.
